CGL,Chengalpattu Jn.,0.0,0,
RDY,Reddipalayam,4.81,4.81,S
VB,Villiyambakkam,8.05,3.24,S
PALR,Palur,11.49,3.44,S
PYV,Palayasivaram,14.86,3.37,S
WJ,Walajabad,21.75,6.89,S
NTT,Nathapettai,29.27,7.52,S
CJE,Kanchipuram East,34.68,5.41,S
CJ,Kanchipuram,35.98,35.98,S
