VLK,Villivakkam,0.0,0,
KOTR,Korattur,2.67,2.67,S
PVM,Pattaravakkam,4.6,1.93,S
ABU,Ambattur,6.0,1.4,S
TMVL,Tirumullaivayil,7.75,1.75,S
ANNR,Annanur,8.92,1.17,S
AVD,Avadi,11.61,11.61,S
