0,1,2,3,4,5
0,CJ,Kanchipuram,0.0,0,
1,TMLP,Tirumalpur,12.57,12.57,S
2,TKO,Takkolam,20.22,7.65,S
3,AJJ,Arakkonam JN,32.65,32.65,S
