0,1,2,3,4,5
0,NPKM,Nandiyampakkam,0.0,0,
1,MJR,Minjur,2.62,2.62,S
2,APB,Anuppambattu,6.63,4.01,S
3,PON,Ponneri,11.32,4.69,S
4,KVP,Kavaraippettai,18.0,6.68,S
5,GPD,Gummidipundi,23.92,5.92,S
6,ELR,Elavur,29.53,29.53,S
