0,1,2,3,4,5
0,CGL,Chengalpattu Jn.,0.0,0,
1,RDY,Reddipalayam,4.81,4.81,S
2,VB,Villiyambakkam,8.05,3.24,S
3,PALR,Palur,11.49,3.44,S
4,PYV,Palayasivaram,14.86,3.37,S
5,WJ,Walajabad,21.75,6.89,S
6,NTT,Nathapettai,29.27,7.52,S
7,CJE,Kanchipuram East,34.68,5.41,S
8,CJ,Kanchipuram,35.98,35.98,S
