0,1,2,3,4,5
0,AJJ,Arakkonam JN,0.0,0,
1,PLMG,PULIYAMANGALAM,2.12,2.12,S
2,MSU,Mosur,4.92,2.8,S
3,TO,Tiruvalangadu,10.5,5.58,S
4,MAF,Manavur,14.65,4.15,S
5,SPAM,Senji Panambakkam,18.37,3.72,S
6,KBT,Kadambattur,21.37,3.0,S
7,EGT,Egattur,23.68,2.31,S
8,TRL,Tiruvallur,26.97,3.29,S
9,PTLR,Putlur Halt,29.81,2.84,S
10,SVR,Sevvapet Road,32.9,3.09,S
11,VEU,Veppampattu,36.37,3.47,S
12,TI,Tiruninravur,39.68,39.68,S
