0,1,2,3,4,5
0,PER,Perambur,0.0,0,
1,PCW,Perambur Carriage Works,0.66,0.66,S
2,PEW,Perambur Loco Works,2.12,1.46,S
3,VLK,Villivakkam,3.79,3.79,S
