0,1,2,3,4,5
0,VLK,Villivakkam,0.0,0,
1,KOTR,Korattur,2.67,2.67,S
2,PVM,Pattaravakkam,4.6,1.93,S
3,ABU,Ambattur,6.0,1.4,S
4,TMVL,Tirumullaivayil,7.75,1.75,S
5,ANNR,Annanur,8.92,1.17,S
6,AVD,Avadi,11.61,11.61,S
