0,1,2,3,4,5
0,TVT,Tiruvottiyur,0.0,0,
1,WCN,Wimco Nagar,2.5,2.5,S
2,KAVM,Kathivakkam,5.52,3.02,S
3,ENR,Ennore,7.07,7.07,S
