0,1,2,3,4,5
0,TBM,Tambaram,0.0,0,
1,PRGL,Perungalattur,3.5,3.5,S
2,VDR,Vandalur,5.3,1.8,S
3,UPM,Urappakkam,8.36,3.06,S
4,GI,Guduvancheri,11.27,2.91,S
5,POTI,Potheri,14.8,3.53,S
6,CTM,Kattangulatur,16.71,1.91,S
7,MMNK,Maraimalai Nagar Kamarajar,17.82,1.11,S
8,SKL,Singaperumalkoil,22.34,4.52,S
9,PWU,Paranur,26.45,4.11,S
10,CGL,Chengalpattu Jn.,30.7,30.7,S
