0,1,2,3,4,5
0,CTRE,Chitteri,0.0,0,
1,AVN,Anavardikhanpettai,3.85,3.85,S
2,MDVE,Mahendravadi,10.04,6.19,S
3,SHU,Sholinghur,13.48,3.44,S
4,TUG,Thalangai,17.97,4.49,S
5,MRLM,Marudalam,21.32,3.35,S
6,WJR,Walajah Road,28.43,28.43,S
7,MCN,Mukundarayapuram,36.07,7.64,S
