0,1,2,3,4,5
0,HC,Hindu College,0.0,0,
1,PAB,Pattabiram,0.91,0.91,S
2,NEC,NEMILICHERRY HALT,3.08,2.17,S
3,TI,Tiruninravur,4.92,4.92,S
