0,1,2,3,4,5
0,ELR,Elavur,0.0,0,
1,AKM,Arambakam,9.58,9.58,S
2,TADA,Tada,17.04,7.46,S
3,AKAT,Akkampet,24.01,6.97,S
4,SPE,Sullurupeta,29.5,5.49,S
5,PEL,Polireddipalem,37.67,8.17,S
6,DVR,Doravarichattram,45.15,7.48,S
7,NYP,Nayudupeta,56.68,11.53,S
8,PYA,Pedapariya,69.66,12.98,S
9,ODUR,Odur,75.65,5.99,S
10,GDR,Gudur Jn.,84.35,84.35,S
