AIP,Attippattu,AIPL,SICAL IRON ORE TERMINAL PRIVATE SIDING,10-2-2011,10-2-2011,S,G,NA,Y,N
AIP,Attippattu,AIPL,SICAL IRON ORE TERMINAL PRIVATE SIDING,11-2-2011,2-12-2011,S,B,CC+6,Y,N
AIP,Attippattu,AIPL,SICAL IRON ORE TERMINAL PRIVATE SIDING,3-12-2011,31-12-2999,S,B,CC+8,Y,N
AIP,Attippattu,AIPO,ENNORE COAL TERMINAL PRIVATE LIMITED SIDING,10-2-2011,2-12-2011,S,G,CC+6,Y,N
AIP,Attippattu,ENF,"ENNORE PORT LTD SDG, ATTIPATTU",1-1-2008,29-12-2011,S,G,CC+8,Y,N
AIP,Attippattu,NPKM,Nandiyampakkam,1-1-2008,31-12-2999,S,B,CC+8,Y,N
AIPC,India CEMENTS LTD SIDING,AIP,Attippattu,29-10-2011,2-12-2011,S,G,CC+6,Y,N
AIPC,India CEMENTS LTD SIDING,AIP,Attippattu,3-12-2011,4-10-2012,S,G,CC+8,Y,N
AIPC,India CEMENTS LTD SIDING,AIP,Attippattu,5-10-2012,31-12-2999,S,G,CC+8,Y,N
AIPH,HINDUSTHAN PETROLEUM CORPORATION LIMITED PRIVATE SIDING,AIP,Attippattu,8-10-2015,31-12-2999,S,G,CC+8,Y,N
AIPH,HINDUSTHAN PETROLEUM CORPORATION LIMITED PRIVATE SIDING,ENR,Ennore,11-5-2013,7-10-2015,S,G,CC+8,Y,N
AIPH,HINDUSTHAN PETROLEUM CORPORATION LIMITED PRIVATE SIDING,ENR,Ennore,8-10-2015,31-12-2999,S,G,CC+8,Y,N
AIPO,ENNORE COAL TERMINAL PRIVATE LIMITED SIDING,AIP,Attippattu,3-12-2011,15-10-2014,S,G,CC+8,Y,N
AIPO,ENNORE COAL TERMINAL PRIVATE LIMITED SIDING,EPHY,EPL Holding yard ii,16-10-2014,31-12-2999,S,G,CC+8,Y,N
AIPP,Attipattu Pudu Nagar.H,AIP,Attippattu,1-1-2008,31-12-2999,S,B,CC+8,Y,N
AIPP,Attipattu Pudu Nagar.H,AIPS,"THERMAL POWER PLANT SIDING, ATTIPATTU",1-1-2008,31-12-2999,S,G,CC+8,Y,N
AIPP,Attipattu Pudu Nagar.H,ENF,"ENNORE PORT LTD SDG, ATTIPATTU",1-1-2008,31-12-2999,S,G,CC+8,Y,N
AIPZ,ZUARI CEMENTS LTD SIDING,AIP,Attippattu,29-10-2011,2-12-2011,S,G,CC+6,Y,N
AIPZ,ZUARI CEMENTS LTD SIDING,AIP,Attippattu,3-12-2011,29-1-2013,S,G,CC+8,Y,N
AIPZ,ZUARI CEMENTS LTD SIDING,AIP,Attippattu,30-1-2013,31-12-2999,S,G,CC+8,Y,N
AJJ,Arakkonam JN,AJJB,RAMCO INDUSTRIES LTD,1-1-2008,31-12-2999,S,G,CC+8,Y,N
AJJ,Arakkonam JN,MLPM,Melpakkam,1-1-2008,31-12-2999,S,B,CC+8,Y,N
AJJ,Arakkonam JN,RU,Renigunta Jn.,1-1-2008,12-2-2018,S,B,CC+8,Y,N
